"Module","EnsemblID","GeneSymbol","kME"
"turquoise","ENSG00000168497.5","CAVIN2",0.8538
"turquoise","ENSG00000141338.14","ABCA8",0.8497
"turquoise","ENSG00000170989.10","S1PR1",0.8234
"turquoise","ENSG00000112936.19","C7",0.8129
"turquoise","ENSG00000102010.15","BMX",0.8126
"turquoise","ENSG00000161649.13","CD300LG",0.8108
"turquoise","ENSG00000168477.19","TNXB",0.8105
"turquoise","ENSG00000181234.9","TMEM132C",0.8098
"turquoise","ENSG00000276409.5","CCL14",0.8087
"turquoise","ENSG00000164035.10","EMCN",0.8035
"turquoise","ENSG00000017427.17","IGF1",0.7999
"turquoise","ENSG00000186642.16","PDE2A",0.7993
"turquoise","ENSG00000183722.9","LHFPL6",0.7982
"turquoise","ENSG00000147113.17","DIPK2B",0.7924
"turquoise","ENSG00000154721.15","JAM2",0.7892
"turquoise","ENSG00000157554.19","ERG",0.786
"turquoise","ENSG00000131471.7","AOC3",0.7848
"turquoise","ENSG00000137033.11","IL33",0.7842
"turquoise","ENSG00000123243.15","ITIH5",0.7808
"turquoise","ENSG00000164330.17","EBF1",0.7786
"yellow","ENSG00000038427.16","VCAN",0.8962
"yellow","ENSG00000174099.12","MSRB3",0.8938
"yellow","ENSG00000140937.14","CDH11",0.8908
"yellow","ENSG00000122707.12","RECK",0.8855
"yellow","ENSG00000163430.12","FSTL1",0.8849
"yellow","ENSG00000106823.12","ECM2",0.8818
"yellow","ENSG00000204262.14","COL5A2",0.8806
"yellow","ENSG00000078098.14","FAP",0.8765
"yellow","ENSG00000168542.16","COL3A1",0.8758
"yellow","ENSG00000148848.14","ADAM12",0.8736
"yellow","ENSG00000169946.14","ZFPM2",0.8705
"yellow","ENSG00000011465.18","DCN",0.8686
"yellow","ENSG00000183801.8","OLFML1",0.8628
"yellow","ENSG00000148516.22","ZEB1",0.8628
"yellow","ENSG00000091986.16","CCDC80",0.8579
"yellow","ENSG00000123384.14","LRP1",0.8517
"yellow","ENSG00000113319.13","RASGRF2",0.8512
"yellow","ENSG00000101825.8","MXRA5",0.8486
"yellow","ENSG00000164692.18","COL1A2",0.8443
"yellow","ENSG00000104415.14","CCN4",0.8396
"black","ENSG00000143851.15","PTPN7",0.9426
"black","ENSG00000167208.15","SNX20",0.9377
"black","ENSG00000089012.14","SIRPG",0.9239
"black","ENSG00000079263.19","SP140",0.9194
"black","ENSG00000181847.12","TIGIT",0.9191
"black","ENSG00000110448.11","CD5",0.9066
"black","ENSG00000163600.13","ICOS",0.9057
"black","ENSG00000167286.10","CD3D",0.9041
"black","ENSG00000186810.8","CXCR3",0.8947
"black","ENSG00000255833.2","TIFAB",0.8926
"black","ENSG00000163519.14","TRAT1",0.8897
"black","ENSG00000226979.9","LTA",0.8868
"black","ENSG00000163599.17","CTLA4",0.8862
"black","ENSG00000013725.14","CD6",0.8853
"black","ENSG00000160856.21","FCRL3",0.8759
"black","ENSG00000147168.13","IL2RG",0.8733
"black","ENSG00000154451.14","GBP5",0.8713
"black","ENSG00000117215.15","PLA2G2D",0.8667
"black","ENSG00000100453.13","GZMB",0.861
"black","ENSG00000188389.11","PDCD1",0.8604
"blue","ENSG00000186007.10","LEMD1",0.8008
"blue","ENSG00000182175.14","RGMA",0.7873
"blue","ENSG00000073464.13","CLCN4",0.7815
"blue","ENSG00000149231.15","CCDC82",0.78
"blue","ENSG00000156219.17","ART3",0.7755
"blue","ENSG00000186832.9","KRT16",0.7688
"blue","ENSG00000101871.16","MID1",0.7536
"blue","ENSG00000184384.14","MAML2",0.7513
"blue","ENSG00000122863.6","CHST3",0.75
"blue","ENSG00000158186.13","MRAS",0.7446
"blue","ENSG00000143452.16","HORMAD1",0.7402
"blue","ENSG00000166535.20","A2ML1",0.7396
"blue","ENSG00000136928.7","GABBR2",0.7374
"blue","ENSG00000179270.7","PCARE",0.7331
"blue","ENSG00000103546.18","SLC6A2",0.7278
"blue","ENSG00000204019.5","CT83",0.7254
"blue","ENSG00000104332.12","SFRP1",0.7212
"blue","ENSG00000163064.7","EN1",0.7198
"blue","ENSG00000146648.19","EGFR",0.719
"blue","ENSG00000136002.20","ARHGEF4",0.7095
"green","ENSG00000088325.16","TPX2",0.9465
"green","ENSG00000121152.10","NCAPH",0.9302
"green","ENSG00000129810.15","SGO1",0.9283
"green","ENSG00000109805.10","NCAPG",0.9282
"green","ENSG00000169679.15","BUB1",0.9272
"green","ENSG00000090889.12","KIF4A",0.9257
"green","ENSG00000145386.11","CCNA2",0.9257
"green","ENSG00000157456.8","CCNB2",0.9238
"green","ENSG00000138180.16","CEP55",0.9234
"green","ENSG00000065328.17","MCM10",0.9227
"green","ENSG00000165304.8","MELK",0.922
"green","ENSG00000123485.12","HJURP",0.9204
"green","ENSG00000154839.10","SKA1",0.9196
"green","ENSG00000134690.11","CDCA8",0.9177
"green","ENSG00000142945.13","KIF2C",0.9177
"green","ENSG00000169607.13","CKAP2L",0.9156
"green","ENSG00000115163.15","CENPA",0.9117
"green","ENSG00000137807.16","KIF23",0.9097
"green","ENSG00000111206.13","FOXM1",0.9096
"green","ENSG00000126787.13","DLGAP5",0.9073
"red","ENSG00000162910.19","MRPL55",0.8407
"red","ENSG00000168061.17","SAC3D1",0.8368
"red","ENSG00000172336.5","POP7",0.8318
"red","ENSG00000130520.11","LSM4",0.8286
"red","ENSG00000105669.14","COPE",0.8279
"red","ENSG00000133265.11","HSPBP1",0.8277
"red","ENSG00000126768.12","TIMM17B",0.8265
"red","ENSG00000007376.8","RPUSD1",0.8254
"red","ENSG00000178896.9","EXOSC4",0.8234
"red","ENSG00000141552.18","ANAPC11",0.822
"red","ENSG00000148362.11",NA,0.8217
"red","ENSG00000143793.13","C1orf35",0.8203
"red","ENSG00000130731.16","METTL26",0.8189
"red","ENSG00000074071.15","MRPS34",0.8173
"red","ENSG00000183048.12","SLC25A10",0.8163
