"Network","Module","GeneSymbol","EnsemblID","kME"
"Signed","brown","ESR1","ENSG00000091831.24",-0.8119
"Signed","brown","LEMD1","ENSG00000186007.10",0.7994
"Signed","brown","TBC1D9","ENSG00000109436.8",-0.7993
"Signed","brown","SPDEF","ENSG00000124664.11",-0.7991
"Signed","brown","AGR3","ENSG00000173467.9",-0.7967
"Signed","brown","AGR2","ENSG00000106541.12",-0.7907
"Signed","brown","RGMA","ENSG00000182175.14",0.7846
"Signed","brown","CA12","ENSG00000074410.14",-0.7835
"Signed","brown","CLCN4","ENSG00000073464.13",0.7824
"Signed","brown","CCDC82","ENSG00000149231.15",0.7789
"Signed","brown","C5AR2","ENSG00000134830.6",-0.7774
"Signed","brown","ART3","ENSG00000156219.17",0.7766
"Signed","brown","SLC44A4","ENSG00000204385.13",-0.7741
"Signed","brown","DEGS2","ENSG00000168350.8",-0.7726
"Signed","red","TPX2","ENSG00000088325.16",0.9468
"Signed","red","NCAPH","ENSG00000121152.10",0.9302
"Signed","red","SGO1","ENSG00000129810.15",0.9284
"Signed","red","NCAPG","ENSG00000109805.10",0.9282
"Signed","red","BUB1","ENSG00000169679.15",0.9272
"Signed","red","KIF4A","ENSG00000090889.12",0.926
"Signed","red","CCNA2","ENSG00000145386.11",0.9259
"Signed","red","CCNB2","ENSG00000157456.8",0.9243
"Signed","red","CEP55","ENSG00000138180.16",0.9234
"Signed","red","MCM10","ENSG00000065328.17",0.9226
"Signed","red","MELK","ENSG00000165304.8",0.9219
"Signed","red","HJURP","ENSG00000123485.12",0.9205
"Signed","red","SKA1","ENSG00000154839.10",0.9198
"Signed","red","KIF2C","ENSG00000142945.13",0.9178
"Signed","red","CDCA8","ENSG00000134690.11",0.9177
"Signed","red","CKAP2L","ENSG00000169607.13",0.9157
"Signed","red","CENPA","ENSG00000115163.15",0.912
"Signed","red","KIF23","ENSG00000137807.16",0.9096
"Signed","red","FOXM1","ENSG00000111206.13",0.9095
"Signed","red","DLGAP5","ENSG00000126787.13",0.9074
"Unsigned","blue","CAVIN2","ENSG00000168497.5",0.8574
"Unsigned","blue","ABCA8","ENSG00000141338.14",0.8548
"Unsigned","blue","S1PR1","ENSG00000170989.10",0.8507
"Unsigned","blue","CD300LG","ENSG00000161649.13",0.8303
"Unsigned","blue","BMX","ENSG00000102010.15",0.8237
"Unsigned","blue","AOC3","ENSG00000131471.7",0.8231
"Unsigned","blue","C7","ENSG00000112936.19",0.822
"Unsigned","blue","TNXB","ENSG00000168477.19",0.8207
"Unsigned","blue","TMEM132C","ENSG00000181234.9",0.8179
"Unsigned","blue","EMCN","ENSG00000164035.10",0.8156
"Unsigned","blue","PDE2A","ENSG00000186642.16",0.8134
"Unsigned","blue","DIPK2B","ENSG00000147113.17",0.8127
"Unsigned","blue","IGF1","ENSG00000017427.17",0.8043
"Unsigned","blue","ERG","ENSG00000157554.19",0.8039
"Unsigned","blue","CCL14","ENSG00000276409.5",0.8016
"Unsigned","blue","LHFPL6","ENSG00000183722.9",0.7988
"Unsigned","blue","IL33","ENSG00000137033.11",0.7979
"Unsigned","blue","ITIH5","ENSG00000123243.15",0.7973
"Unsigned","blue","EBF1","ENSG00000164330.17",0.794
"Unsigned","blue","JAM2","ENSG00000154721.15",0.7916
"Unsigned","red","COL5A2","ENSG00000204262.14",0.9045
"Unsigned","red","COL3A1","ENSG00000168542.16",0.904
"Unsigned","red","CDH11","ENSG00000140937.14",0.9034
"Unsigned","red","VCAN","ENSG00000038427.16",0.8925
"Unsigned","red","DCN","ENSG00000011465.18",0.8919
"Unsigned","red","FAP","ENSG00000078098.14",0.8907
"Unsigned","red","ADAM12","ENSG00000148848.14",0.8891
"Unsigned","red","FSTL1","ENSG00000163430.12",0.8875
"Unsigned","red","MSRB3","ENSG00000174099.12",0.8846
"Unsigned","red","COL1A2","ENSG00000164692.18",0.8827
"Unsigned","red","OLFML1","ENSG00000183801.8",0.8795
"Unsigned","red","ECM2","ENSG00000106823.12",0.8769
"Unsigned","red","RECK","ENSG00000122707.12",0.8716
"Unsigned","red","ZFPM2","ENSG00000169946.14",0.8634
"Unsigned","red","CCDC80","ENSG00000091986.16",0.8613
"Unsigned","red","CCN4","ENSG00000104415.14",0.8597
"Unsigned","red","MXRA5","ENSG00000101825.8",0.8554
"Unsigned","red","POSTN","ENSG00000133110.15",0.8508
"Unsigned","red","LRP1","ENSG00000123384.14",0.8508
"Unsigned","red","RASGRF2","ENSG00000113319.13",0.8502
"Unsigned","black","PTPN7","ENSG00000143851.15",0.9443
"Unsigned","black","SNX20","ENSG00000167208.15",0.9373
