"Module","GeneID","GeneSymbol","kME"
"black","AC004687.1","AC004687.1",0.7254
"black","AC004847.1","AC004847.1",0.7171
"black","MIAT","MIAT",0.6916
"black","AC108134.3","AC108134.3",0.6897
"black","AC083837.1","AC083837.1",0.6867
"black","CHRM3.AS2","CHRM3.AS2",0.6833
"black","AC022706.1","AC022706.1",0.6776
"green","LINC02188","LINC02188",0.8476
"green","SNHG26","SNHG26",0.8263
"green","FOXCUT","FOXCUT",0.8258
"green","ROCR","ROCR",0.8122
"green","AP000851.1","AP000851.1",0.7523
"green","LINC02613","LINC02613",0.7505
"green","LINC01819","LINC01819",0.7399
"green","AC008514.1","AC008514.1",0.7282
"green","LINC02487","LINC02487",0.7281
"green","AL109809.4","AL109809.4",0.7243
"green","CASC8","CASC8",0.7198
"green","AL136366.1","AL136366.1",0.7117
"green","PICSAR","PICSAR",0.7116
"green","VIM.AS1","VIM.AS1",0.7115
"green","LINC01354","LINC01354",0.7048
"green","LINC00092","LINC00092",0.6834
"green","AC022509.1","AC022509.1",0.6805
"green","LINC01152","LINC01152",0.6702
"green","CEROX1","CEROX1",0.6678
"green","LINC00839","LINC00839",0.6596
