Module,GeneSymbol,kME,Full_Name,Aliases,EntrezID,Functional_Summary
yellow,MIR100HG,0.8178,mir-100-let-7a-2-mir-125b-1 cluster host gene,AGD1; linc-NeD125; lncRNA-N2,399959,"This gene produces long non-coding RNAs that act as regulators of cell proliferation. Alternative promoter usage and splicing results in multiple transcript variants. Some transcript variants may promote growth, while others may act to negatively regulate cell division. [provided by RefSeq, May 2016]."
yellow,ZFHX4.AS1,0.7987,,,,No summary available.
yellow,MEG3,0.7955,maternally expressed 3,FP504; GTL2; LINC00023; Lnc-DLK1-35; NCRNA00023; PRO0518; PRO2160; onco-lncRNA-83; prebp1,55384,"This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor. [provided by RefSeq, Mar 2012]."
yellow,LINC02544,0.7906,long intergenic non-protein coding RNA 2544,,101929504,No summary available.
yellow,AC134312.5,0.7903,,,,No summary available.
yellow,AC009093.1,0.776,,,,No summary available.
yellow,AP000695.1,0.7693,,,,No summary available.
yellow,AC000403.1,0.7531,,,,No summary available.
yellow,HAND2.AS1,0.7525,,,,No summary available.
yellow,LINC00922,0.7467,long independently transcribed non-coding RNA 922,Lnc-LALC,283867,No summary available.
yellow,LINC01711,0.7412,long independently transcribed non-coding RNA 1711,,79160,No summary available.
yellow,LINC01561,0.7354,long independently transcribed non-coding RNA 1561,C10orf85,404216,No summary available.
yellow,LINC01638,0.7323,long independently transcribed non-coding RNA 1638,lncRNA4114,105372978,No summary available.
yellow,NR2F1.AS1,0.7279,,,,No summary available.
yellow,EMX2OS,0.7276,EMX2 opposite strand/antisense RNA,EMX2-AS1; NCRNA00045,196047,No summary available.
yellow,AL049838.1,0.7256,,,,No summary available.
yellow,LINC02126,0.7232,long independently transcribed non-coding RNA 2126,,101927650,No summary available.
yellow,MAP3K4.AS1,0.7186,,,,No summary available.
black,PCED1B.AS1,0.8459,,,,No summary available.
black,MIR155HG,0.8189,MIR155 host gene,BIC; BIC-155; LncRNA-SERB; MIRHG2; NCRNA00172; miPEP155,114614,"This gene represents a microRNA host gene. The long RNA transcribed from this gene is expressed at high levels in lymphoma and may function as an oncogene. [provided by RefSeq, Dec 2017]."
black,AC004585.1,0.8186,,,,No summary available.
black,LINC00996,0.8133,long independently transcribed non-coding RNA 996,,285972,No summary available.
black,LINC01215,0.8062,long independently transcribed non-coding RNA 1215,,101929623,No summary available.
black,FAM30A,0.7919,family with sequence similarity 30 member A,C14orf110; HSPC053; KIAA0125,9834,No summary available.
black,LINC01857,0.7583,long independently transcribed non-coding RNA 1857,,102724714,No summary available.
black,LINC02273,0.7579,long independently transcribed non-coding RNA 2273,,100996286,No summary available.
black,AL590764.1,0.7571,,,,No summary available.
black,TRBV11.2,0.756,,,,No summary available.
black,LINC02446,0.755,long independently transcribed non-coding RNA 2446,,101060038,No summary available.
black,LINC01871,0.7394,long independently transcribed non-coding RNA 1871,,101929531,No summary available.
black,LINC02328,0.7334,long independently transcribed non-coding RNA 2328,,101928767,No summary available.
black,AC004687.1,0.7254,,,,No summary available.
black,AC004847.1,0.7171,,,,No summary available.
black,MIAT,0.6916,myocardial infarction associated transcript,C22orf35; GOMAFU; LINC00066; NCRNA00066; RNCR2; lncRNA-MIAT,440823,"This gene encodes a spliced long non-coding RNA that may constitute a component of the nuclear matrix. Altered expression of this locus has been reported to be associated with a susceptibility to myocardial infarction. It has also been proposed that pathways involving this transcript may contribute to the pathophysiology of schizophrenia. A similar gene in mouse has been associated with retinal cell fate determination. Alternatively spliced transcript variants have been identified. [provided by RefSeq, Dec 2014]."
black,AC108134.3,0.6897,,,,No summary available.
black,AC083837.1,0.6867,,,,No summary available.
black,CHRM3.AS2,0.6833,,,,No summary available.
black,AC022706.1,0.6776,,,,No summary available.
green,LINC02188,0.8476,long independently transcribed non-coding RNA 2188,,102724344,No summary available.
green,SNHG26,0.8263,small nucleolar RNA host gene 26,,109729180,No summary available.
green,FOXCUT,0.8258,FOXC1 upstream transcript,,,No summary available.
green,ROCR,0.8122,regulator of chondrogenesis RNA,,,No summary available.
green,AP000851.1,0.7523,,,,No summary available.
