"Module","EnsemblID","GeneSymbol","kME","Network"
"green","ENSG00000126787.13","DLGAP5",0.9073,"Signed"
"red","ENSG00000162910.19","MRPL55",0.8407,"Signed"
"red","ENSG00000168061.17","SAC3D1",0.8368,"Signed"
"red","ENSG00000172336.5","POP7",0.8318,"Signed"
"red","ENSG00000130520.11","LSM4",0.8286,"Signed"
"red","ENSG00000105669.14","COPE",0.8279,"Signed"
"red","ENSG00000133265.11","HSPBP1",0.8277,"Signed"
"red","ENSG00000126768.12","TIMM17B",0.8265,"Signed"
"red","ENSG00000007376.8","RPUSD1",0.8254,"Signed"
"red","ENSG00000178896.9","EXOSC4",0.8234,"Signed"
"red","ENSG00000141552.18","ANAPC11",0.822,"Signed"
"red","ENSG00000148362.11",NA,0.8217,"Signed"
"red","ENSG00000143793.13","C1orf35",0.8203,"Signed"
"red","ENSG00000130731.16","METTL26",0.8189,"Signed"
"red","ENSG00000074071.15","MRPS34",0.8173,"Signed"
"red","ENSG00000183048.12","SLC25A10",0.8163,"Signed"
"red","ENSG00000161179.14","YDJC",0.8162,"Signed"
"red","ENSG00000125995.16","ROMO1",0.8127,"Signed"
"red","ENSG00000128626.12","MRPS12",0.811,"Signed"
"red","ENSG00000228300.14",NA,0.8105,"Signed"
"red","ENSG00000095906.17","NUBP2",0.8052,"Signed"
"magenta","ENSG00000173627.8","APOBEC4",0.8863,"Signed"
"magenta","ENSG00000157330.10","CFAP107",0.8564,"Signed"
"magenta","ENSG00000167858.13","TEKT1",0.8484,"Signed"
"magenta","ENSG00000169064.13","ZBBX",0.8399,"Signed"
"magenta","ENSG00000136918.8","WDR38",0.8386,"Signed"
"magenta","ENSG00000187492.9","CDHR4",0.831,"Signed"
"magenta","ENSG00000164287.13","CDC20B",0.8283,"Signed"
"magenta","ENSG00000176601.13","MAP3K19",0.8244,"Signed"
"magenta","ENSG00000186471.13","AKAP14",0.8224,"Signed"
"magenta","ENSG00000124237.6","CIMIP1",0.8184,"Signed"
"magenta","ENSG00000139445.18","FOXN4",0.8005,"Signed"
"magenta","ENSG00000162456.10","KNCN",0.7965,"Signed"
"magenta","ENSG00000118492.17","ADGB",0.796,"Signed"
"magenta","ENSG00000080572.13","DNAAF6",0.7927,"Signed"
"magenta","ENSG00000145491.12","ROPN1L",0.7809,"Signed"
"magenta","ENSG00000243910.8","TUBA4B",0.7767,"Signed"
"magenta","ENSG00000179902.13","CFAP276",0.7713,"Signed"
"magenta","ENSG00000163263.7","CFAP141",0.7665,"Signed"
"magenta","ENSG00000164746.14","C7orf57",0.7531,"Signed"
"magenta","ENSG00000129654.8","FOXJ1",0.7509,"Signed"
"brown","ENSG00000091831.24","ESR1",0.8902,"Signed"
"brown","ENSG00000115648.14","MLPH",0.8742,"Signed"
"brown","ENSG00000109436.8","TBC1D9",0.8698,"Signed"
"brown","ENSG00000129514.8","FOXA1",0.8689,"Signed"
"brown","ENSG00000173467.9","AGR3",0.8687,"Signed"
"brown","ENSG00000100219.16","XBP1",0.8564,"Signed"
"brown","ENSG00000134830.6","C5AR2",0.8528,"Signed"
"brown","ENSG00000107485.18","GATA3",0.8499,"Signed"
"brown","ENSG00000074410.14","CA12",0.8445,"Signed"
"brown","ENSG00000206113.11","CFAP99",0.8334,"Signed"
"brown","ENSG00000178935.5","ZNF552",0.8254,"Signed"
"brown","ENSG00000187486.5","KCNJ11",0.8154,"Signed"
"brown","ENSG00000143412.10","ANXA9",0.8095,"Signed"
"brown","ENSG00000176532.4","PRR15",0.8092,"Signed"
"brown","ENSG00000004838.14","ZMYND10",0.8069,"Signed"
"brown","ENSG00000168350.8","DEGS2",0.8032,"Signed"
"brown","ENSG00000106541.12","AGR2",0.803,"Signed"
"brown","ENSG00000204385.13","SLC44A4",0.7965,"Signed"
"brown","ENSG00000183044.12","ABAT",0.7915,"Signed"
"brown","ENSG00000165140.11","FBP1",0.7866,"Signed"
"pink","ENSG00000007541.17","PIGQ",0.8667,"Signed"
"pink","ENSG00000067836.13","ROGDI",0.8549,"Signed"
"pink","ENSG00000103024.7","NME3",0.8549,"Signed"
"pink","ENSG00000162076.13","FLYWCH2",0.8353,"Signed"
"pink","ENSG00000172366.20","MCRIP2",0.8298,"Signed"
"pink","ENSG00000185187.13","SIGIRR",0.8223,"Signed"
"pink","ENSG00000284976.1","LOC122513141",0.8175,"Signed"
"pink","ENSG00000159214.13","CCDC24",0.8158,"Signed"
"pink","ENSG00000127580.17","WDR24",0.8154,"Signed"
"pink","ENSG00000197562.10","RAB40C",0.8131,"Signed"
"pink","ENSG00000168101.14","NUDT16L1",0.8124,"Signed"
"pink","ENSG00000068366.20","ACSL4",-0.8028,"Signed"
"pink","ENSG00000103254.10","ANTKMT",0.7986,"Signed"
"pink","ENSG00000184384.14","MAML2",-0.7954,"Signed"
"pink","ENSG00000103245.14","CIAO3",0.7942,"Signed"
"pink","ENSG00000185522.9","LMNTD2",0.7875,"Signed"
"pink","ENSG00000115257.15","PCSK4",0.7854,"Signed"
"pink","ENSG00000177548.13","RABEP2",0.7783,"Signed"
"pink","ENSG00000095906.17","NUBP2",0.778,"Signed"
"pink","ENSG00000122591.12","HYCC1",-0.778,"Signed"
